Sexo;Comunidad autónoma;Enfermedades;Sí o no;Total
Ambos sexos;País Vasco;Lesiones o defectos permanentes causados por un accidente;TOTAL;100
Ambos sexos;País Vasco;Lesiones o defectos permanentes causados por un accidente;Sí;5,77
Ambos sexos;País Vasco;Lesiones o defectos permanentes causados por un accidente;No;94,23
Ambos sexos;Rioja (La);Tensión alta;TOTAL;100
Ambos sexos;Rioja (La);Tensión alta;Sí;19,36
Ambos sexos;Rioja (La);Tensión alta;No;78,42
Ambos sexos;Rioja (La);Infarto de miocardio;TOTAL;100
Ambos sexos;Rioja (La);Infarto de miocardio;Sí;0,49
Ambos sexos;Rioja (La);Infarto de miocardio;No;99,51
Ambos sexos;Rioja (La);Angina de pecho, enfermedad coronaria;TOTAL;100
Ambos sexos;Rioja (La);Angina de pecho, enfermedad coronaria;Sí;0,43
Ambos sexos;Rioja (La);Angina de pecho, enfermedad coronaria;No;99,57
Ambos sexos;Rioja (La);Otras enfermedades del corazón;TOTAL;100
Ambos sexos;Rioja (La);Otras enfermedades del corazón;Sí;3,66
Ambos sexos;Rioja (La);Otras enfermedades del corazón;No;96,34
Ambos sexos;Rioja (La);Varices en las piernas;TOTAL;100
Ambos sexos;Rioja (La);Varices en las piernas;Sí;10,19
Ambos sexos;Rioja (La);Varices en las piernas;No;89,81
Ambos sexos;Rioja (La);Artrosis (excluyendo artritis);TOTAL;100
Ambos sexos;Rioja (La);Artrosis (excluyendo artritis);Sí;14,15
Ambos sexos;Rioja (La);Artrosis (excluyendo artritis);No;85,85
Ambos sexos;Rioja (La);Dolor de espalda crónico (cervical);TOTAL;100
Ambos sexos;Rioja (La);Dolor de espalda crónico (cervical);Sí;10,86
Ambos sexos;Rioja (La);Dolor de espalda crónico (cervical);No;89,14
Ambos sexos;Rioja (La);Dolor de espalda crónico (lumbar);TOTAL;100
Ambos sexos;Rioja (La);Dolor de espalda crónico (lumbar);Sí;12,66
Ambos sexos;Rioja (La);Dolor de espalda crónico (lumbar);No;87,34
Ambos sexos;Rioja (La);Alergia crónica, como rinitis, conjuntivitis o dermatitis alérgica, alergia alimentaria o de otro tipo (asma alérgica excluida);TOTAL;100
Ambos sexos;Rioja (La);Alergia crónica, como rinitis, conjuntivitis o dermatitis alérgica, alergia alimentaria o de otro tipo (asma alérgica excluida);Sí;9,5
Ambos sexos;Rioja (La);Alergia crónica, como rinitis, conjuntivitis o dermatitis alérgica, alergia alimentaria o de otro tipo (asma alérgica excluida);No;90,5
Ambos sexos;Rioja (La);Asma (incluida asma alérgica);TOTAL;100
Ambos sexos;Rioja (La);Asma (incluida asma alérgica);Sí;2,69
Ambos sexos;Rioja (La);Asma (incluida asma alérgica);No;97,31
Ambos sexos;Rioja (La);Bronquitis crónica, enfisema, enfermedad pulmonar obstructiva crónica (EPOC);TOTAL;100
Ambos sexos;Rioja (La);Bronquitis crónica, enfisema, enfermedad pulmonar obstructiva crónica (EPOC);Sí;2,15
Ambos sexos;Rioja (La);Bronquitis crónica, enfisema, enfermedad pulmonar obstructiva crónica (EPOC);No;97,85
Ambos sexos;Rioja (La);Diabetes;TOTAL;100
Ambos sexos;Rioja (La);Diabetes;Sí;6,41
Ambos sexos;Rioja (La);Diabetes;No;93,59
Ambos sexos;Rioja (La);Úlcera de estómago o duodeno;TOTAL;100
Ambos sexos;Rioja (La);Úlcera de estómago o duodeno;Sí;0,81
Ambos sexos;Rioja (La);Úlcera de estómago o duodeno;No;99,19
Ambos sexos;Rioja (La);Incontinencia urinaria o problemas de control de la orina;TOTAL;100
Ambos sexos;Rioja (La);Incontinencia urinaria o problemas de control de la orina;Sí;4,08
Ambos sexos;Rioja (La);Incontinencia urinaria o problemas de control de la orina;No;95,92
Ambos sexos;Rioja (La);Colesterol alto;TOTAL;100
Ambos sexos;Rioja (La);Colesterol alto;Sí;17,47
Ambos sexos;Rioja (La);Colesterol alto;No;82,53
Ambos sexos;Rioja (La);Cataratas;TOTAL;100
Ambos sexos;Rioja (La);Cataratas;Sí;5,2
Ambos sexos;Rioja (La);Cataratas;No;94,8
Ambos sexos;Rioja (La);Problemas crónicos de piel;TOTAL;100
Ambos sexos;Rioja (La);Problemas crónicos de piel;Sí;6,48
Ambos sexos;Rioja (La);Problemas crónicos de piel;No;93,52
Ambos sexos;Rioja (La);Estreñimiento crónico;TOTAL;100
Ambos sexos;Rioja (La);Estreñimiento crónico;Sí;2,63
Ambos sexos;Rioja (La);Estreñimiento crónico;No;97,37
Ambos sexos;Rioja (La);Cirrosis, disfunción hepática;TOTAL;100
Ambos sexos;Rioja (La);Cirrosis, disfunción hepática;Sí;0,34
Ambos sexos;Rioja (La);Cirrosis, disfunción hepática;No;99,66
Ambos sexos;Rioja (La);Depresión;TOTAL;100
Ambos sexos;Rioja (La);Depresión;Sí;5,96
Ambos sexos;Rioja (La);Depresión;No;94,04
Ambos sexos;Rioja (La);Ansiedad crónica;TOTAL;100
Ambos sexos;Rioja (La);Ansiedad crónica;Sí;3,2
Ambos sexos;Rioja (La);Ansiedad crónica;No;96,8
Ambos sexos;Rioja (La);Otros problemas mentales;TOTAL;100
Ambos sexos;Rioja (La);Otros problemas mentales;Sí;1,12
Ambos sexos;Rioja (La);Otros problemas mentales;No;98,88
Ambos sexos;Rioja (La);Ictus (embolia, infarto cerebral, hemorragia cerebral);TOTAL;100
Ambos sexos;Rioja (La);Ictus (embolia, infarto cerebral, hemorragia cerebral);Sí;0,42
Ambos sexos;Rioja (La);Ictus (embolia, infarto cerebral, hemorragia cerebral);No;99,58
Ambos sexos;Rioja (La);Migraña o dolor de cabeza frecuente;TOTAL;100
Ambos sexos;Rioja (La);Migraña o dolor de cabeza frecuente;Sí;7,14
Ambos sexos;Rioja (La);Migraña o dolor de cabeza frecuente;No;92,86
Ambos sexos;Rioja (La);Hemorroides;TOTAL;100
Ambos sexos;Rioja (La);Hemorroides;Sí;5,07
Ambos sexos;Rioja (La);Hemorroides;No;94,93
Ambos sexos;Rioja (La);Tumores malignos;TOTAL;100
Ambos sexos;Rioja (La);Tumores malignos;Sí;1,97
Ambos sexos;Rioja (La);Tumores malignos;No;98,03
Ambos sexos;Rioja (La);Osteoporosis;TOTAL;100
Ambos sexos;Rioja (La);Osteoporosis;Sí;4,07
Ambos sexos;Rioja (La);Osteoporosis;No;95,93
Ambos sexos;Rioja (La);Problemas de tiroides;TOTAL;100
Ambos sexos;Rioja (La);Problemas de tiroides;Sí;5,99
Ambos sexos;Rioja (La);Problemas de tiroides;No;94,01
Ambos sexos;Rioja (La);Problemas de riñón;TOTAL;100
Ambos sexos;Rioja (La);Problemas de riñón;Sí;2,46
Ambos sexos;Rioja (La);Problemas de riñón;No;97,54
Ambos sexos;Rioja (La);Problemas de próstata (solo hombres);TOTAL;0
Ambos sexos;Rioja (La);Problemas de próstata (solo hombres);Sí;0
Ambos sexos;Rioja (La);Problemas de próstata (solo hombres);No;0
Ambos sexos;Rioja (La);Problemas del periodo menopáusico (solo mujeres);TOTAL;0
Ambos sexos;Rioja (La);Problemas del periodo menopáusico (solo mujeres);Sí;0
Ambos sexos;Rioja (La);Problemas del periodo menopáusico (solo mujeres);No;0
Ambos sexos;Rioja (La);Lesiones o defectos permanentes causados por un accidente;TOTAL;100
Ambos sexos;Rioja (La);Lesiones o defectos permanentes causados por un accidente;Sí;6,17
Ambos sexos;Rioja (La);Lesiones o defectos permanentes causados por un accidente;No;93,83
Ambos sexos;Ceuta (Ciudad Autónoma de);Tensión alta;TOTAL;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Tensión alta;Sí;13,24
Ambos sexos;Ceuta (Ciudad Autónoma de);Tensión alta;No;86,2
Ambos sexos;Ceuta (Ciudad Autónoma de);Infarto de miocardio;TOTAL;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Infarto de miocardio;Sí;0,36
Ambos sexos;Ceuta (Ciudad Autónoma de);Infarto de miocardio;No;99,64
Ambos sexos;Ceuta (Ciudad Autónoma de);Angina de pecho, enfermedad coronaria;TOTAL;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Angina de pecho, enfermedad coronaria;Sí;0,85
Ambos sexos;Ceuta (Ciudad Autónoma de);Angina de pecho, enfermedad coronaria;No;99,15
Ambos sexos;Ceuta (Ciudad Autónoma de);Otras enfermedades del corazón;TOTAL;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Otras enfermedades del corazón;Sí;2,91
Ambos sexos;Ceuta (Ciudad Autónoma de);Otras enfermedades del corazón;No;97,09
Ambos sexos;Ceuta (Ciudad Autónoma de);Varices en las piernas;TOTAL;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Varices en las piernas;Sí;2,57
Ambos sexos;Ceuta (Ciudad Autónoma de);Varices en las piernas;No;97,43
Ambos sexos;Ceuta (Ciudad Autónoma de);Artrosis (excluyendo artritis);TOTAL;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Artrosis (excluyendo artritis);Sí;9,18
Ambos sexos;Ceuta (Ciudad Autónoma de);Artrosis (excluyendo artritis);No;90,82
Ambos sexos;Ceuta (Ciudad Autónoma de);Dolor de espalda crónico (cervical);TOTAL;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Dolor de espalda crónico (cervical);Sí;6,44
Ambos sexos;Ceuta (Ciudad Autónoma de);Dolor de espalda crónico (cervical);No;93,56
Ambos sexos;Ceuta (Ciudad Autónoma de);Dolor de espalda crónico (lumbar);TOTAL;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Dolor de espalda crónico (lumbar);Sí;9,83
Ambos sexos;Ceuta (Ciudad Autónoma de);Dolor de espalda crónico (lumbar);No;90,17
Ambos sexos;Ceuta (Ciudad Autónoma de);Alergia crónica, como rinitis, conjuntivitis o dermatitis alérgica, alergia alimentaria o de otro tipo (asma alérgica excluida);TOTAL;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Alergia crónica, como rinitis, conjuntivitis o dermatitis alérgica, alergia alimentaria o de otro tipo (asma alérgica excluida);Sí;6,78
Ambos sexos;Ceuta (Ciudad Autónoma de);Alergia crónica, como rinitis, conjuntivitis o dermatitis alérgica, alergia alimentaria o de otro tipo (asma alérgica excluida);No;93,22
Ambos sexos;Ceuta (Ciudad Autónoma de);Asma (incluida asma alérgica);TOTAL;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Asma (incluida asma alérgica);Sí;5,73
Ambos sexos;Ceuta (Ciudad Autónoma de);Asma (incluida asma alérgica);No;94,27
Ambos sexos;Ceuta (Ciudad Autónoma de);Bronquitis crónica, enfisema, enfermedad pulmonar obstructiva crónica (EPOC);TOTAL;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Bronquitis crónica, enfisema, enfermedad pulmonar obstructiva crónica (EPOC);Sí;0
Ambos sexos;Ceuta (Ciudad Autónoma de);Bronquitis crónica, enfisema, enfermedad pulmonar obstructiva crónica (EPOC);No;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Diabetes;TOTAL;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Diabetes;Sí;5,96
Ambos sexos;Ceuta (Ciudad Autónoma de);Diabetes;No;94,04
Ambos sexos;Ceuta (Ciudad Autónoma de);Úlcera de estómago o duodeno;TOTAL;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Úlcera de estómago o duodeno;Sí;0,86
Ambos sexos;Ceuta (Ciudad Autónoma de);Úlcera de estómago o duodeno;No;99,14
Ambos sexos;Ceuta (Ciudad Autónoma de);Incontinencia urinaria o problemas de control de la orina;TOTAL;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Incontinencia urinaria o problemas de control de la orina;Sí;1,77
Ambos sexos;Ceuta (Ciudad Autónoma de);Incontinencia urinaria o problemas de control de la orina;No;98,23
Ambos sexos;Ceuta (Ciudad Autónoma de);Colesterol alto;TOTAL;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Colesterol alto;Sí;12,55
Ambos sexos;Ceuta (Ciudad Autónoma de);Colesterol alto;No;87,45
Ambos sexos;Ceuta (Ciudad Autónoma de);Cataratas;TOTAL;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Cataratas;Sí;4,22
Ambos sexos;Ceuta (Ciudad Autónoma de);Cataratas;No;95,78
Ambos sexos;Ceuta (Ciudad Autónoma de);Problemas crónicos de piel;TOTAL;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Problemas crónicos de piel;Sí;0
Ambos sexos;Ceuta (Ciudad Autónoma de);Problemas crónicos de piel;No;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Estreñimiento crónico;TOTAL;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Estreñimiento crónico;Sí;1,06
Ambos sexos;Ceuta (Ciudad Autónoma de);Estreñimiento crónico;No;98,94
Ambos sexos;Ceuta (Ciudad Autónoma de);Cirrosis, disfunción hepática;TOTAL;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Cirrosis, disfunción hepática;Sí;0
Ambos sexos;Ceuta (Ciudad Autónoma de);Cirrosis, disfunción hepática;No;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Depresión;TOTAL;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Depresión;Sí;4,51
Ambos sexos;Ceuta (Ciudad Autónoma de);Depresión;No;95,49
Ambos sexos;Ceuta (Ciudad Autónoma de);Ansiedad crónica;TOTAL;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Ansiedad crónica;Sí;5,26
Ambos sexos;Ceuta (Ciudad Autónoma de);Ansiedad crónica;No;94,74
Ambos sexos;Ceuta (Ciudad Autónoma de);Otros problemas mentales;TOTAL;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Otros problemas mentales;Sí;1,2
Ambos sexos;Ceuta (Ciudad Autónoma de);Otros problemas mentales;No;98,8
Ambos sexos;Ceuta (Ciudad Autónoma de);Ictus (embolia, infarto cerebral, hemorragia cerebral);TOTAL;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Ictus (embolia, infarto cerebral, hemorragia cerebral);Sí;0,88
Ambos sexos;Ceuta (Ciudad Autónoma de);Ictus (embolia, infarto cerebral, hemorragia cerebral);No;99,12
Ambos sexos;Ceuta (Ciudad Autónoma de);Migraña o dolor de cabeza frecuente;TOTAL;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Migraña o dolor de cabeza frecuente;Sí;3,48
Ambos sexos;Ceuta (Ciudad Autónoma de);Migraña o dolor de cabeza frecuente;No;96,52
Ambos sexos;Ceuta (Ciudad Autónoma de);Hemorroides;TOTAL;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Hemorroides;Sí;0,36
Ambos sexos;Ceuta (Ciudad Autónoma de);Hemorroides;No;99,64
Ambos sexos;Ceuta (Ciudad Autónoma de);Tumores malignos;TOTAL;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Tumores malignos;Sí;3,22
Ambos sexos;Ceuta (Ciudad Autónoma de);Tumores malignos;No;96,78
Ambos sexos;Ceuta (Ciudad Autónoma de);Osteoporosis;TOTAL;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Osteoporosis;Sí;1,14
Ambos sexos;Ceuta (Ciudad Autónoma de);Osteoporosis;No;98,86
Ambos sexos;Ceuta (Ciudad Autónoma de);Problemas de tiroides;TOTAL;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Problemas de tiroides;Sí;2,98
Ambos sexos;Ceuta (Ciudad Autónoma de);Problemas de tiroides;No;97,02
Ambos sexos;Ceuta (Ciudad Autónoma de);Problemas de riñón;TOTAL;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Problemas de riñón;Sí;0,07
Ambos sexos;Ceuta (Ciudad Autónoma de);Problemas de riñón;No;99,93
Ambos sexos;Ceuta (Ciudad Autónoma de);Problemas de próstata (solo hombres);TOTAL;0
Ambos sexos;Ceuta (Ciudad Autónoma de);Problemas de próstata (solo hombres);Sí;0
Ambos sexos;Ceuta (Ciudad Autónoma de);Problemas de próstata (solo hombres);No;0
Ambos sexos;Ceuta (Ciudad Autónoma de);Problemas del periodo menopáusico (solo mujeres);TOTAL;0
Ambos sexos;Ceuta (Ciudad Autónoma de);Problemas del periodo menopáusico (solo mujeres);Sí;0
Ambos sexos;Ceuta (Ciudad Autónoma de);Problemas del periodo menopáusico (solo mujeres);No;0
Ambos sexos;Ceuta (Ciudad Autónoma de);Lesiones o defectos permanentes causados por un accidente;TOTAL;100
Ambos sexos;Ceuta (Ciudad Autónoma de);Lesiones o defectos permanentes causados por un accidente;Sí;0,57
Ambos sexos;Ceuta (Ciudad Autónoma de);Lesiones o defectos permanentes causados por un accidente;No;99,43
Ambos sexos;Melilla (Ciudad Autónoma de);Tensión alta;TOTAL;100
Ambos sexos;Melilla (Ciudad Autónoma de);Tensión alta;Sí;14,8
Ambos sexos;Melilla (Ciudad Autónoma de);Tensión alta;No;85,2
Ambos sexos;Melilla (Ciudad Autónoma de);Infarto de miocardio;TOTAL;100
Ambos sexos;Melilla (Ciudad Autónoma de);Infarto de miocardio;Sí;0,3
Ambos sexos;Melilla (Ciudad Autónoma de);Infarto de miocardio;No;99,7
Ambos sexos;Melilla (Ciudad Autónoma de);Angina de pecho, enfermedad coronaria;TOTAL;100
Ambos sexos;Melilla (Ciudad Autónoma de);Angina de pecho, enfermedad coronaria;Sí;0
Ambos sexos;Melilla (Ciudad Autónoma de);Angina de pecho, enfermedad coronaria;No;100
Ambos sexos;Melilla (Ciudad Autónoma de);Otras enfermedades del corazón;TOTAL;100
Ambos sexos;Melilla (Ciudad Autónoma de);Otras enfermedades del corazón;Sí;4,21
Ambos sexos;Melilla (Ciudad Autónoma de);Otras enfermedades del corazón;No;95,79
Ambos sexos;Melilla (Ciudad Autónoma de);Varices en las piernas;TOTAL;100
Ambos sexos;Melilla (Ciudad Autónoma de);Varices en las piernas;Sí;3,16
Ambos sexos;Melilla (Ciudad Autónoma de);Varices en las piernas;No;96,84
Ambos sexos;Melilla (Ciudad Autónoma de);Artrosis (excluyendo artritis);TOTAL;100
Ambos sexos;Melilla (Ciudad Autónoma de);Artrosis (excluyendo artritis);Sí;6,27
Ambos sexos;Melilla (Ciudad Autónoma de);Artrosis (excluyendo artritis);No;93,73
Ambos sexos;Melilla (Ciudad Autónoma de);Dolor de espalda crónico (cervical);TOTAL;100
Ambos sexos;Melilla (Ciudad Autónoma de);Dolor de espalda crónico (cervical);Sí;1,14
Ambos sexos;Melilla (Ciudad Autónoma de);Dolor de espalda crónico (cervical);No;98,86
Ambos sexos;Melilla (Ciudad Autónoma de);Dolor de espalda crónico (lumbar);TOTAL;100
Ambos sexos;Melilla (Ciudad Autónoma de);Dolor de espalda crónico (lumbar);Sí;3,16
Ambos sexos;Melilla (Ciudad Autónoma de);Dolor de espalda crónico (lumbar);No;96,84
Ambos sexos;Melilla (Ciudad Autónoma de);Alergia crónica, como rinitis, conjuntivitis o dermatitis alérgica, alergia alimentaria o de otro tipo (asma alérgica excluida);TOTAL;100
Ambos sexos;Melilla (Ciudad Autónoma de);Alergia crónica, como rinitis, conjuntivitis o dermatitis alérgica, alergia alimentaria o de otro tipo (asma alérgica excluida);Sí;4,23
Ambos sexos;Melilla (Ciudad Autónoma de);Alergia crónica, como rinitis, conjuntivitis o dermatitis alérgica, alergia alimentaria o de otro tipo (asma alérgica excluida);No;95,77
Ambos sexos;Melilla (Ciudad Autónoma de);Asma (incluida asma alérgica);TOTAL;100
Ambos sexos;Melilla (Ciudad Autónoma de);Asma (incluida asma alérgica);Sí;3,42
Ambos sexos;Melilla (Ciudad Autónoma de);Asma (incluida asma alérgica);No;96,58
Ambos sexos;Melilla (Ciudad Autónoma de);Bronquitis crónica, enfisema, enfermedad pulmonar obstructiva crónica (EPOC);TOTAL;100
Ambos sexos;Melilla (Ciudad Autónoma de);Bronquitis crónica, enfisema, enfermedad pulmonar obstructiva crónica (EPOC);Sí;0,59
Ambos sexos;Melilla (Ciudad Autónoma de);Bronquitis crónica, enfisema, enfermedad pulmonar obstructiva crónica (EPOC);No;99,41
Ambos sexos;Melilla (Ciudad Autónoma de);Diabetes;TOTAL;100
Ambos sexos;Melilla (Ciudad Autónoma de);Diabetes;Sí;4,65
Ambos sexos;Melilla (Ciudad Autónoma de);Diabetes;No;95,35
Ambos sexos;Melilla (Ciudad Autónoma de);Úlcera de estómago o duodeno;TOTAL;100
Ambos sexos;Melilla (Ciudad Autónoma de);Úlcera de estómago o duodeno;Sí;0,46
Ambos sexos;Melilla (Ciudad Autónoma de);Úlcera de estómago o duodeno;No;99,54
Ambos sexos;Melilla (Ciudad Autónoma de);Incontinencia urinaria o problemas de control de la orina;TOTAL;100
Ambos sexos;Melilla (Ciudad Autónoma de);Incontinencia urinaria o problemas de control de la orina;Sí;0,23
Ambos sexos;Melilla (Ciudad Autónoma de);Incontinencia urinaria o problemas de control de la orina;No;99,77
Ambos sexos;Melilla (Ciudad Autónoma de);Colesterol alto;TOTAL;100
Ambos sexos;Melilla (Ciudad Autónoma de);Colesterol alto;Sí;8,24
Ambos sexos;Melilla (Ciudad Autónoma de);Colesterol alto;No;91,76
Ambos sexos;Melilla (Ciudad Autónoma de);Cataratas;TOTAL;100
Ambos sexos;Melilla (Ciudad Autónoma de);Cataratas;Sí;0,89
Ambos sexos;Melilla (Ciudad Autónoma de);Cataratas;No;99,11
Ambos sexos;Melilla (Ciudad Autónoma de);Problemas crónicos de piel;TOTAL;100
Ambos sexos;Melilla (Ciudad Autónoma de);Problemas crónicos de piel;Sí;0,36
Ambos sexos;Melilla (Ciudad Autónoma de);Problemas crónicos de piel;No;99,64
Ambos sexos;Melilla (Ciudad Autónoma de);Estreñimiento crónico;TOTAL;100
Ambos sexos;Melilla (Ciudad Autónoma de);Estreñimiento crónico;Sí;0
Ambos sexos;Melilla (Ciudad Autónoma de);Estreñimiento crónico;No;100
Ambos sexos;Melilla (Ciudad Autónoma de);Cirrosis, disfunción hepática;TOTAL;100
Ambos sexos;Melilla (Ciudad Autónoma de);Cirrosis, disfunción hepática;Sí;0
Ambos sexos;Melilla (Ciudad Autónoma de);Cirrosis, disfunción hepática;No;100
Ambos sexos;Melilla (Ciudad Autónoma de);Depresión;TOTAL;100
Ambos sexos;Melilla (Ciudad Autónoma de);Depresión;Sí;0,39
Ambos sexos;Melilla (Ciudad Autónoma de);Depresión;No;99,61
Ambos sexos;Melilla (Ciudad Autónoma de);Ansiedad crónica;TOTAL;100
Ambos sexos;Melilla (Ciudad Autónoma de);Ansiedad crónica;Sí;2,92
Ambos sexos;Melilla (Ciudad Autónoma de);Ansiedad crónica;No;97,08
Ambos sexos;Melilla (Ciudad Autónoma de);Otros problemas mentales;TOTAL;100
Ambos sexos;Melilla (Ciudad Autónoma de);Otros problemas mentales;Sí;0
Ambos sexos;Melilla (Ciudad Autónoma de);Otros problemas mentales;No;100
Ambos sexos;Melilla (Ciudad Autónoma de);Ictus (embolia, infarto cerebral, hemorragia cerebral);TOTAL;100
Ambos sexos;Melilla (Ciudad Autónoma de);Ictus (embolia, infarto cerebral, hemorragia cerebral);Sí;0
Ambos sexos;Melilla (Ciudad Autónoma de);Ictus (embolia, infarto cerebral, hemorragia cerebral);No;100
Ambos sexos;Melilla (Ciudad Autónoma de);Migraña o dolor de cabeza frecuente;TOTAL;100
Ambos sexos;Melilla (Ciudad Autónoma de);Migraña o dolor de cabeza frecuente;Sí;1
Ambos sexos;Melilla (Ciudad Autónoma de);Migraña o dolor de cabeza frecuente;No;99
Ambos sexos;Melilla (Ciudad Autónoma de);Hemorroides;TOTAL;100
Ambos sexos;Melilla (Ciudad Autónoma de);Hemorroides;Sí;0,02
Ambos sexos;Melilla (Ciudad Autónoma de);Hemorroides;No;99,98
Ambos sexos;Melilla (Ciudad Autónoma de);Tumores malignos;TOTAL;100
Ambos sexos;Melilla (Ciudad Autónoma de);Tumores malignos;Sí;0,16
Ambos sexos;Melilla (Ciudad Autónoma de);Tumores malignos;No;99,84
Ambos sexos;Melilla (Ciudad Autónoma de);Osteoporosis;TOTAL;100
Ambos sexos;Melilla (Ciudad Autónoma de);Osteoporosis;Sí;0,69
Ambos sexos;Melilla (Ciudad Autónoma de);Osteoporosis;No;99,31
Ambos sexos;Melilla (Ciudad Autónoma de);Problemas de tiroides;TOTAL;100
Ambos sexos;Melilla (Ciudad Autónoma de);Problemas de tiroides;Sí;2,63
Ambos sexos;Melilla (Ciudad Autónoma de);Problemas de tiroides;No;97,37
Ambos sexos;Melilla (Ciudad Autónoma de);Problemas de riñón;TOTAL;100
Ambos sexos;Melilla (Ciudad Autónoma de);Problemas de riñón;Sí;0,39
Ambos sexos;Melilla (Ciudad Autónoma de);Problemas de riñón;No;99,61
Ambos sexos;Melilla (Ciudad Autónoma de);Problemas de próstata (solo hombres);TOTAL;0
Ambos sexos;Melilla (Ciudad Autónoma de);Problemas de próstata (solo hombres);Sí;0
Ambos sexos;Melilla (Ciudad Autónoma de);Problemas de próstata (solo hombres);No;0
Ambos sexos;Melilla (Ciudad Autónoma de);Problemas del periodo menopáusico (solo mujeres);TOTAL;0
Ambos sexos;Melilla (Ciudad Autónoma de);Problemas del periodo menopáusico (solo mujeres);Sí;0
Ambos sexos;Melilla (Ciudad Autónoma de);Problemas del periodo menopáusico (solo mujeres);No;0
Ambos sexos;Melilla (Ciudad Autónoma de);Lesiones o defectos permanentes causados por un accidente;TOTAL;100
Ambos sexos;Melilla (Ciudad Autónoma de);Lesiones o defectos permanentes causados por un accidente;Sí;0,12
Ambos sexos;Melilla (Ciudad Autónoma de);Lesiones o defectos permanentes causados por un accidente;No;99,88
Hombres;Total;Tensión alta;TOTAL;100
Hombres;Total;Tensión alta;Sí;19
Hombres;Total;Tensión alta;No;80,56
Hombres;Total;Infarto de miocardio;TOTAL;100
Hombres;Total;Infarto de miocardio;Sí;1,04
Hombres;Total;Infarto de miocardio;No;98,96
Hombres;Total;Angina de pecho, enfermedad coronaria;TOTAL;100
Hombres;Total;Angina de pecho, enfermedad coronaria;Sí;0,81
Hombres;Total;Angina de pecho, enfermedad coronaria;No;99,19
Hombres;Total;Otras enfermedades del corazón;TOTAL;100
Hombres;Total;Otras enfermedades del corazón;Sí;4,05
Hombres;Total;Otras enfermedades del corazón;No;95,95
Hombres;Total;Varices en las piernas;TOTAL;100
Hombres;Total;Varices en las piernas;Sí;3,72
Hombres;Total;Varices en las piernas;No;96,28
Hombres;Total;Artrosis (excluyendo artritis);TOTAL;100
Hombres;Total;Artrosis (excluyendo artritis);Sí;8,73
Hombres;Total;Artrosis (excluyendo artritis);No;91,27
Hombres;Total;Dolor de espalda crónico (cervical);TOTAL;100
Hombres;Total;Dolor de espalda crónico (cervical);Sí;6,97
Hombres;Total;Dolor de espalda crónico (cervical);No;93,03
Hombres;Total;Dolor de espalda crónico (lumbar);TOTAL;100
Hombres;Total;Dolor de espalda crónico (lumbar);Sí;10,12
Hombres;Total;Dolor de espalda crónico (lumbar);No;89,88
Hombres;Total;Alergia crónica, como rinitis, conjuntivitis o dermatitis alérgica, alergia alimentaria o de otro tipo (asma alérgica excluida);TOTAL;100
Hombres;Total;Alergia crónica, como rinitis, conjuntivitis o dermatitis alérgica, alergia alimentaria o de otro tipo (asma alérgica excluida);Sí;9,18
Hombres;Total;Alergia crónica, como rinitis, conjuntivitis o dermatitis alérgica, alergia alimentaria o de otro tipo (asma alérgica excluida);No;90,82
Hombres;Total;Asma (incluida asma alérgica);TOTAL;100
Hombres;Total;Asma (incluida asma alérgica);Sí;3,44
Hombres;Total;Asma (incluida asma alérgica);No;96,56
Hombres;Total;Bronquitis crónica, enfisema, enfermedad pulmonar obstructiva crónica (EPOC);TOTAL;100
Hombres;Total;Bronquitis crónica, enfisema, enfermedad pulmonar obstructiva crónica (EPOC);Sí;2,65
