Sexo	Total Nacional	Comunidades y Ciudades Autónomas	Enfermedades	Sí o no	Total
Ambos sexos	Total	Castilla y León	Diabetes	No	90.02
Ambos sexos	Total	Castilla y León	Úlcera de estómago o duodeno	TOTAL	100
Ambos sexos	Total	Castilla y León	Úlcera de estómago o duodeno	Sí	1.02
Ambos sexos	Total	Castilla y León	Úlcera de estómago o duodeno	No	98.98
Ambos sexos	Total	Castilla y León	Incontinencia urinaria o problemas de control de la orina	TOTAL	100
Ambos sexos	Total	Castilla y León	Incontinencia urinaria o problemas de control de la orina	Sí	4.28
Ambos sexos	Total	Castilla y León	Incontinencia urinaria o problemas de control de la orina	No	95.72
Ambos sexos	Total	Castilla y León	Colesterol alto	TOTAL	100
Ambos sexos	Total	Castilla y León	Colesterol alto	Sí	20.99
Ambos sexos	Total	Castilla y León	Colesterol alto	No	79.01
Ambos sexos	Total	Castilla y León	Cataratas	TOTAL	100
Ambos sexos	Total	Castilla y León	Cataratas	Sí	5.59
Ambos sexos	Total	Castilla y León	Cataratas	No	94.41
Ambos sexos	Total	Castilla y León	Problemas crónicos de piel	TOTAL	100
Ambos sexos	Total	Castilla y León	Problemas crónicos de piel	Sí	5.64
Ambos sexos	Total	Castilla y León	Problemas crónicos de piel	No	94.36
Ambos sexos	Total	Castilla y León	Estreñimiento crónico	TOTAL	100
Ambos sexos	Total	Castilla y León	Estreñimiento crónico	Sí	2.26
Ambos sexos	Total	Castilla y León	Estreñimiento crónico	No	97.74
Ambos sexos	Total	Castilla y León	Cirrosis. disfunción hepática	TOTAL	100
Ambos sexos	Total	Castilla y León	Cirrosis. disfunción hepática	Sí	0.4
Ambos sexos	Total	Castilla y León	Cirrosis. disfunción hepática	No	99.6
Ambos sexos	Total	Castilla y León	Depresión	TOTAL	100
Ambos sexos	Total	Castilla y León	Depresión	Sí	7.36
Ambos sexos	Total	Castilla y León	Depresión	No	92.64
Ambos sexos	Total	Castilla y León	Ansiedad crónica	TOTAL	100
Ambos sexos	Total	Castilla y León	Ansiedad crónica	Sí	6.68
Ambos sexos	Total	Castilla y León	Ansiedad crónica	No	93.32
Ambos sexos	Total	Castilla y León	Otros problemas mentales	TOTAL	100
Ambos sexos	Total	Castilla y León	Otros problemas mentales	Sí	1.46
Ambos sexos	Total	Castilla y León	Otros problemas mentales	No	98.54
Ambos sexos	Total	Castilla y León	Ictus (embolia. infarto cerebral. hemorragia cerebral)	TOTAL	100
Ambos sexos	Total	Castilla y León	Ictus (embolia. infarto cerebral. hemorragia cerebral)	Sí	1.02
Ambos sexos	Total	Castilla y León	Ictus (embolia. infarto cerebral. hemorragia cerebral)	No	98.98
Ambos sexos	Total	Castilla y León	Migraña o dolor de cabeza frecuente	TOTAL	100
Ambos sexos	Total	Castilla y León	Migraña o dolor de cabeza frecuente	Sí	9.52
Ambos sexos	Total	Castilla y León	Migraña o dolor de cabeza frecuente	No	90.48
Ambos sexos	Total	Castilla y León	Hemorroides	TOTAL	100
Ambos sexos	Total	Castilla y León	Hemorroides	Sí	4.19
Ambos sexos	Total	Castilla y León	Hemorroides	No	95.81
Ambos sexos	Total	Castilla y León	Tumores malignos	TOTAL	100
Ambos sexos	Total	Castilla y León	Tumores malignos	Sí	1.5
Ambos sexos	Total	Castilla y León	Tumores malignos	No	98.5
Ambos sexos	Total	Castilla y León	Osteoporosis	TOTAL	100
Ambos sexos	Total	Castilla y León	Osteoporosis	Sí	4.57
Ambos sexos	Total	Castilla y León	Osteoporosis	No	95.43
Ambos sexos	Total	Castilla y León	Problemas de tiroides	TOTAL	100
Ambos sexos	Total	Castilla y León	Problemas de tiroides	Sí	7.09
Ambos sexos	Total	Castilla y León	Problemas de tiroides	No	92.91
Ambos sexos	Total	Castilla y León	Problemas de riñón	TOTAL	100
Ambos sexos	Total	Castilla y León	Problemas de riñón	Sí	3.25
Ambos sexos	Total	Castilla y León	Problemas de riñón	No	96.75
Ambos sexos	Total	Castilla y León	Problemas de próstata (solo hombres)	TOTAL	0
Ambos sexos	Total	Castilla y León	Problemas de próstata (solo hombres)	Sí	0
Ambos sexos	Total	Castilla y León	Problemas de próstata (solo hombres)	No	0
Ambos sexos	Total	Castilla y León	Problemas del periodo menopáusico (solo mujeres)	TOTAL	0
Ambos sexos	Total	Castilla y León	Problemas del periodo menopáusico (solo mujeres)	Sí	0
Ambos sexos	Total	Castilla y León	Problemas del periodo menopáusico (solo mujeres)	No	0
Ambos sexos	Total	Castilla y León	Lesiones o defectos permanentes causados por un accidente	TOTAL	100
Ambos sexos	Total	Castilla y León	Lesiones o defectos permanentes causados por un accidente	Sí	3.96
Ambos sexos	Total	Castilla y León	Lesiones o defectos permanentes causados por un accidente	No	96.04
Ambos sexos	Total	Castilla-La Mancha	Tensión alta	TOTAL	100
Ambos sexos	Total	Castilla-La Mancha	Tensión alta	Sí	21.41
Ambos sexos	Total	Castilla-La Mancha	Tensión alta	No	78.54
Ambos sexos	Total	Castilla-La Mancha	Infarto de miocardio	TOTAL	100
Ambos sexos	Total	Castilla-La Mancha	Infarto de miocardio	Sí	0.07
Ambos sexos	Total	Castilla-La Mancha	Infarto de miocardio	No	99.93
Ambos sexos	Total	Castilla-La Mancha	Angina de pecho. enfermedad coronaria	TOTAL	100
Ambos sexos	Total	Castilla-La Mancha	Angina de pecho. enfermedad coronaria	Sí	0.51
Ambos sexos	Total	Castilla-La Mancha	Angina de pecho. enfermedad coronaria	No	99.49
Ambos sexos	Total	Castilla-La Mancha	Otras enfermedades del corazón	TOTAL	100
Ambos sexos	Total	Castilla-La Mancha	Otras enfermedades del corazón	Sí	3.23
Ambos sexos	Total	Castilla-La Mancha	Otras enfermedades del corazón	No	96.77
Ambos sexos	Total	Castilla-La Mancha	Varices en las piernas	TOTAL	100
Ambos sexos	Total	Castilla-La Mancha	Varices en las piernas	Sí	6.97
Ambos sexos	Total	Castilla-La Mancha	Varices en las piernas	No	93.03
Ambos sexos	Total	Castilla-La Mancha	Artrosis (excluyendo artritis)	TOTAL	100
Ambos sexos	Total	Castilla-La Mancha	Artrosis (excluyendo artritis)	Sí	17.59
Ambos sexos	Total	Castilla-La Mancha	Artrosis (excluyendo artritis)	No	82.41
Ambos sexos	Total	Castilla-La Mancha	Dolor de espalda crónico (cervical)	TOTAL	100
Ambos sexos	Total	Castilla-La Mancha	Dolor de espalda crónico (cervical)	Sí	12.21
Ambos sexos	Total	Castilla-La Mancha	Dolor de espalda crónico (cervical)	No	87.79
Ambos sexos	Total	Castilla-La Mancha	Dolor de espalda crónico (lumbar)	TOTAL	100
Ambos sexos	Total	Castilla-La Mancha	Dolor de espalda crónico (lumbar)	Sí	15.76
Ambos sexos	Total	Castilla-La Mancha	Dolor de espalda crónico (lumbar)	No	84.24
Ambos sexos	Total	Castilla-La Mancha	Alergia crónica. como rinitis. conjuntivitis o dermatitis alérgica. alergia alimentaria o de otro tipo (asma alérgica excluida)	TOTAL	100
Ambos sexos	Total	Castilla-La Mancha	Alergia crónica. como rinitis. conjuntivitis o dermatitis alérgica. alergia alimentaria o de otro tipo (asma alérgica excluida)	Sí	9.6
Ambos sexos	Total	Castilla-La Mancha	Alergia crónica. como rinitis. conjuntivitis o dermatitis alérgica. alergia alimentaria o de otro tipo (asma alérgica excluida)	No	90.4
Ambos sexos	Total	Castilla-La Mancha	Asma (incluida asma alérgica)	TOTAL	100
Ambos sexos	Total	Castilla-La Mancha	Asma (incluida asma alérgica)	Sí	4.53
Ambos sexos	Total	Castilla-La Mancha	Asma (incluida asma alérgica)	No	95.47
Ambos sexos	Total	Castilla-La Mancha	Bronquitis crónica. enfisema. enfermedad pulmonar obstructiva crónica (EPOC)	TOTAL	100
Ambos sexos	Total	Castilla-La Mancha	Bronquitis crónica. enfisema. enfermedad pulmonar obstructiva crónica (EPOC)	Sí	1.98
Ambos sexos	Total	Castilla-La Mancha	Bronquitis crónica. enfisema. enfermedad pulmonar obstructiva crónica (EPOC)	No	98.02
Ambos sexos	Total	Castilla-La Mancha	Diabetes	TOTAL	100
Ambos sexos	Total	Castilla-La Mancha	Diabetes	Sí	8.12
Ambos sexos	Total	Castilla-La Mancha	Diabetes	No	91.88
Ambos sexos	Total	Castilla-La Mancha	Úlcera de estómago o duodeno	TOTAL	100
Ambos sexos	Total	Castilla-La Mancha	Úlcera de estómago o duodeno	Sí	1.36
Ambos sexos	Total	Castilla-La Mancha	Úlcera de estómago o duodeno	No	98.64
Ambos sexos	Total	Castilla-La Mancha	Incontinencia urinaria o problemas de control de la orina	TOTAL	100
Ambos sexos	Total	Castilla-La Mancha	Incontinencia urinaria o problemas de control de la orina	Sí	2
Ambos sexos	Total	Castilla-La Mancha	Incontinencia urinaria o problemas de control de la orina	No	98
Ambos sexos	Total	Castilla-La Mancha	Colesterol alto	TOTAL	100
Ambos sexos	Total	Castilla-La Mancha	Colesterol alto	Sí	15.68
Ambos sexos	Total	Castilla-La Mancha	Colesterol alto	No	84.32
Ambos sexos	Total	Castilla-La Mancha	Cataratas	TOTAL	100
Ambos sexos	Total	Castilla-La Mancha	Cataratas	Sí	5.15
Ambos sexos	Total	Castilla-La Mancha	Cataratas	No	94.85
Ambos sexos	Total	Castilla-La Mancha	Problemas crónicos de piel	TOTAL	100
Ambos sexos	Total	Castilla-La Mancha	Problemas crónicos de piel	Sí	2.32
Ambos sexos	Total	Castilla-La Mancha	Problemas crónicos de piel	No	97.68
Ambos sexos	Total	Castilla-La Mancha	Estreñimiento crónico	TOTAL	100
Ambos sexos	Total	Castilla-La Mancha	Estreñimiento crónico	Sí	2.75
Ambos sexos	Total	Castilla-La Mancha	Estreñimiento crónico	No	97.25
Ambos sexos	Total	Castilla-La Mancha	Cirrosis. disfunción hepática	TOTAL	100
Ambos sexos	Total	Castilla-La Mancha	Cirrosis. disfunción hepática	Sí	0.73
Ambos sexos	Total	Castilla-La Mancha	Cirrosis. disfunción hepática	No	99.27
Ambos sexos	Total	Castilla-La Mancha	Depresión	TOTAL	100
Ambos sexos	Total	Castilla-La Mancha	Depresión	Sí	4.47
Ambos sexos	Total	Castilla-La Mancha	Depresión	No	95.53
Ambos sexos	Total	Castilla-La Mancha	Ansiedad crónica	TOTAL	100
Ambos sexos	Total	Castilla-La Mancha	Ansiedad crónica	Sí	4.47
Ambos sexos	Total	Castilla-La Mancha	Ansiedad crónica	No	95.53
Ambos sexos	Total	Castilla-La Mancha	Otros problemas mentales	TOTAL	100
Ambos sexos	Total	Castilla-La Mancha	Otros problemas mentales	Sí	1.81
Ambos sexos	Total	Castilla-La Mancha	Otros problemas mentales	No	98.19
Ambos sexos	Total	Castilla-La Mancha	Ictus (embolia. infarto cerebral. hemorragia cerebral)	TOTAL	100
Ambos sexos	Total	Castilla-La Mancha	Ictus (embolia. infarto cerebral. hemorragia cerebral)	Sí	0.54
Ambos sexos	Total	Castilla-La Mancha	Ictus (embolia. infarto cerebral. hemorragia cerebral)	No	99.46
Ambos sexos	Total	Castilla-La Mancha	Migraña o dolor de cabeza frecuente	TOTAL	100
Ambos sexos	Total	Castilla-La Mancha	Migraña o dolor de cabeza frecuente	Sí	7.71
Ambos sexos	Total	Castilla-La Mancha	Migraña o dolor de cabeza frecuente	No	92.29
Ambos sexos	Total	Castilla-La Mancha	Hemorroides	TOTAL	100
Ambos sexos	Total	Castilla-La Mancha	Hemorroides	Sí	3.09
Ambos sexos	Total	Castilla-La Mancha	Hemorroides	No	96.91
Ambos sexos	Total	Castilla-La Mancha	Tumores malignos	TOTAL	100
Ambos sexos	Total	Castilla-La Mancha	Tumores malignos	Sí	0.63
Ambos sexos	Total	Castilla-La Mancha	Tumores malignos	No	99.37
Ambos sexos	Total	Castilla-La Mancha	Osteoporosis	TOTAL	100
Ambos sexos	Total	Castilla-La Mancha	Osteoporosis	Sí	3.2
Ambos sexos	Total	Castilla-La Mancha	Osteoporosis	No	96.8
Ambos sexos	Total	Castilla-La Mancha	Problemas de tiroides	TOTAL	100
Ambos sexos	Total	Castilla-La Mancha	Problemas de tiroides	Sí	4.48
Ambos sexos	Total	Castilla-La Mancha	Problemas de tiroides	No	95.52
Ambos sexos	Total	Castilla-La Mancha	Problemas de riñón	TOTAL	100
Ambos sexos	Total	Castilla-La Mancha	Problemas de riñón	Sí	1.14
Ambos sexos	Total	Castilla-La Mancha	Problemas de riñón	No	98.86
Ambos sexos	Total	Castilla-La Mancha	Problemas de próstata (solo hombres)	TOTAL	0
Ambos sexos	Total	Castilla-La Mancha	Problemas de próstata (solo hombres)	Sí	0
Ambos sexos	Total	Castilla-La Mancha	Problemas de próstata (solo hombres)	No	0
Ambos sexos	Total	Castilla-La Mancha	Problemas del periodo menopáusico (solo mujeres)	TOTAL	0
Ambos sexos	Total	Castilla-La Mancha	Problemas del periodo menopáusico (solo mujeres)	Sí	0
Ambos sexos	Total	Castilla-La Mancha	Problemas del periodo menopáusico (solo mujeres)	No	0
Ambos sexos	Total	Castilla-La Mancha	Lesiones o defectos permanentes causados por un accidente	TOTAL	100
Ambos sexos	Total	Castilla-La Mancha	Lesiones o defectos permanentes causados por un accidente	Sí	1.74
Ambos sexos	Total	Castilla-La Mancha	Lesiones o defectos permanentes causados por un accidente	No	98.26
Ambos sexos	Total	Cataluña	Tensión alta	TOTAL	100
Ambos sexos	Total	Cataluña	Tensión alta	Sí	16.92
Ambos sexos	Total	Cataluña	Tensión alta	No	82.85
Ambos sexos	Total	Cataluña	Infarto de miocardio	TOTAL	100
Ambos sexos	Total	Cataluña	Infarto de miocardio	Sí	0.48
Ambos sexos	Total	Cataluña	Infarto de miocardio	No	99.52
Ambos sexos	Total	Cataluña	Angina de pecho. enfermedad coronaria	TOTAL	100
Ambos sexos	Total	Cataluña	Angina de pecho. enfermedad coronaria	Sí	0.42
Ambos sexos	Total	Cataluña	Angina de pecho. enfermedad coronaria	No	99.58
Ambos sexos	Total	Cataluña	Otras enfermedades del corazón	TOTAL	100
Ambos sexos	Total	Cataluña	Otras enfermedades del corazón	Sí	3.35
Ambos sexos	Total	Cataluña	Otras enfermedades del corazón	No	96.65
Ambos sexos	Total	Cataluña	Varices en las piernas	TOTAL	100
Ambos sexos	Total	Cataluña	Varices en las piernas	Sí	5.23
Ambos sexos	Total	Cataluña	Varices en las piernas	No	94.77
Ambos sexos	Total	Cataluña	Artrosis (excluyendo artritis)	TOTAL	100
Ambos sexos	Total	Cataluña	Artrosis (excluyendo artritis)	Sí	9.49
Ambos sexos	Total	Cataluña	Artrosis (excluyendo artritis)	No	90.51
Ambos sexos	Total	Cataluña	Dolor de espalda crónico (cervical)	TOTAL	100
Ambos sexos	Total	Cataluña	Dolor de espalda crónico (cervical)	Sí	7.68
Ambos sexos	Total	Cataluña	Dolor de espalda crónico (cervical)	No	92.32
Ambos sexos	Total	Cataluña	Dolor de espalda crónico (lumbar)	TOTAL	100
Ambos sexos	Total	Cataluña	Dolor de espalda crónico (lumbar)	Sí	10.21
Ambos sexos	Total	Cataluña	Dolor de espalda crónico (lumbar)	No	89.79
Ambos sexos	Total	Cataluña	Alergia crónica. como rinitis. conjuntivitis o dermatitis alérgica. alergia alimentaria o de otro tipo (asma alérgica excluida)	TOTAL	100
Ambos sexos	Total	Cataluña	Alergia crónica. como rinitis. conjuntivitis o dermatitis alérgica. alergia alimentaria o de otro tipo (asma alérgica excluida)	Sí	9.04
Ambos sexos	Total	Cataluña	Alergia crónica. como rinitis. conjuntivitis o dermatitis alérgica. alergia alimentaria o de otro tipo (asma alérgica excluida)	No	90.96
Ambos sexos	Total	Cataluña	Asma (incluida asma alérgica)	TOTAL	100
Ambos sexos	Total	Cataluña	Asma (incluida asma alérgica)	Sí	3.64
Ambos sexos	Total	Cataluña	Asma (incluida asma alérgica)	No	96.36
Ambos sexos	Total	Cataluña	Bronquitis crónica. enfisema. enfermedad pulmonar obstructiva crónica (EPOC)	TOTAL	100
Ambos sexos	Total	Cataluña	Bronquitis crónica. enfisema. enfermedad pulmonar obstructiva crónica (EPOC)	Sí	2.08
Ambos sexos	Total	Cataluña	Bronquitis crónica. enfisema. enfermedad pulmonar obstructiva crónica (EPOC)	No	97.92
Ambos sexos	Total	Cataluña	Diabetes	TOTAL	100
Ambos sexos	Total	Cataluña	Diabetes	Sí	6.19
Ambos sexos	Total	Cataluña	Diabetes	No	93.81
Ambos sexos	Total	Cataluña	Úlcera de estómago o duodeno	TOTAL	100
Ambos sexos	Total	Cataluña	Úlcera de estómago o duodeno	Sí	1.29
Ambos sexos	Total	Cataluña	Úlcera de estómago o duodeno	No	98.71
Ambos sexos	Total	Cataluña	Incontinencia urinaria o problemas de control de la orina	TOTAL	100
Ambos sexos	Total	Cataluña	Incontinencia urinaria o problemas de control de la orina	Sí	3.09
Ambos sexos	Total	Cataluña	Incontinencia urinaria o problemas de control de la orina	No	96.91
Ambos sexos	Total	Cataluña	Colesterol alto	TOTAL	100
Ambos sexos	Total	Cataluña	Colesterol alto	Sí	12.25
Ambos sexos	Total	Cataluña	Colesterol alto	No	87.75
Ambos sexos	Total	Cataluña	Cataratas	TOTAL	100
Ambos sexos	Total	Cataluña	Cataratas	Sí	3.19
Ambos sexos	Total	Cataluña	Cataratas	No	96.81
Ambos sexos	Total	Cataluña	Problemas crónicos de piel	TOTAL	100
Ambos sexos	Total	Cataluña	Problemas crónicos de piel	Sí	3.31
Ambos sexos	Total	Cataluña	Problemas crónicos de piel	No	96.69
Ambos sexos	Total	Cataluña	Estreñimiento crónico	TOTAL	100
Ambos sexos	Total	Cataluña	Estreñimiento crónico	Sí	2.52
Ambos sexos	Total	Cataluña	Estreñimiento crónico	No	97.48
Ambos sexos	Total	Cataluña	Cirrosis. disfunción hepática	TOTAL	100
Ambos sexos	Total	Cataluña	Cirrosis. disfunción hepática	Sí	0.75
Ambos sexos	Total	Cataluña	Cirrosis. disfunción hepática	No	99.25
Ambos sexos	Total	Cataluña	Depresión	TOTAL	100
Ambos sexos	Total	Cataluña	Depresión	Sí	4.73
Ambos sexos	Total	Cataluña	Depresión	No	95.27
Ambos sexos	Total	Cataluña	Ansiedad crónica	TOTAL	100
Ambos sexos	Total	Cataluña	Ansiedad crónica	Sí	5.85
Ambos sexos	Total	Cataluña	Ansiedad crónica	No	94.15
Ambos sexos	Total	Cataluña	Otros problemas mentales	TOTAL	100
Ambos sexos	Total	Cataluña	Otros problemas mentales	Sí	1.4
Ambos sexos	Total	Cataluña	Otros problemas mentales	No	98.6
Ambos sexos	Total	Cataluña	Ictus (embolia. infarto cerebral. hemorragia cerebral)	TOTAL	100
Ambos sexos	Total	Cataluña	Ictus (embolia. infarto cerebral. hemorragia cerebral)	Sí	0.47
Ambos sexos	Total	Cataluña	Ictus (embolia. infarto cerebral. hemorragia cerebral)	No	99.53
Ambos sexos	Total	Cataluña	Migraña o dolor de cabeza frecuente	TOTAL	100
Ambos sexos	Total	Cataluña	Migraña o dolor de cabeza frecuente	Sí	6.61
Ambos sexos	Total	Cataluña	Migraña o dolor de cabeza frecuente	No	93.39
Ambos sexos	Total	Cataluña	Hemorroides	TOTAL	100
Ambos sexos	Total	Cataluña	Hemorroides	Sí	2.01
Ambos sexos	Total	Cataluña	Hemorroides	No	97.99
Ambos sexos	Total	Cataluña	Tumores malignos	TOTAL	100
Ambos sexos	Total	Cataluña	Tumores malignos	Sí	1.37
Ambos sexos	Total	Cataluña	Tumores malignos	No	98.63
Ambos sexos	Total	Cataluña	Osteoporosis	TOTAL	100
Ambos sexos	Total	Cataluña	Osteoporosis	Sí	2.71
Ambos sexos	Total	Cataluña	Osteoporosis	No	97.29
Ambos sexos	Total	Cataluña	Problemas de tiroides	TOTAL	100
Ambos sexos	Total	Cataluña	Problemas de tiroides	Sí	4.26
Ambos sexos	Total	Cataluña	Problemas de tiroides	No	95.74
Ambos sexos	Total	Cataluña	Problemas de riñón	TOTAL	100
Ambos sexos	Total	Cataluña	Problemas de riñón	Sí	2.47
Ambos sexos	Total	Cataluña	Problemas de riñón	No	97.53
Ambos sexos	Total	Cataluña	Problemas de próstata (solo hombres)	TOTAL	0
Ambos sexos	Total	Cataluña	Problemas de próstata (solo hombres)	Sí	0
Ambos sexos	Total	Cataluña	Problemas de próstata (solo hombres)	No	0
Ambos sexos	Total	Cataluña	Problemas del periodo menopáusico (solo mujeres)	TOTAL	0
Ambos sexos	Total	Cataluña	Problemas del periodo menopáusico (solo mujeres)	Sí	0
Ambos sexos	Total	Cataluña	Problemas del periodo menopáusico (solo mujeres)	No	0
Ambos sexos	Total	Cataluña	Lesiones o defectos permanentes causados por un accidente	TOTAL	100
Ambos sexos	Total	Cataluña	Lesiones o defectos permanentes causados por un accidente	Sí	3.02
Ambos sexos	Total	Cataluña	Lesiones o defectos permanentes causados por un accidente	No	96.98
Ambos sexos	Total	Comunitat Valenciana	Tensión alta	TOTAL	100
Ambos sexos	Total	Comunitat Valenciana	Tensión alta	Sí	20.14
Ambos sexos	Total	Comunitat Valenciana	Tensión alta	No	79.72
Ambos sexos	Total	Comunitat Valenciana	Infarto de miocardio	TOTAL	100
Ambos sexos	Total	Comunitat Valenciana	Infarto de miocardio	Sí	1.02
Ambos sexos	Total	Comunitat Valenciana	Infarto de miocardio	No	98.98
Ambos sexos	Total	Comunitat Valenciana	Angina de pecho. enfermedad coronaria	TOTAL	100
Ambos sexos	Total	Comunitat Valenciana	Angina de pecho. enfermedad coronaria	Sí	0.55
Ambos sexos	Total	Comunitat Valenciana	Angina de pecho. enfermedad coronaria	No	99.45
Ambos sexos	Total	Comunitat Valenciana	Otras enfermedades del corazón	TOTAL	100
Ambos sexos	Total	Comunitat Valenciana	Otras enfermedades del corazón	Sí	3.56
Ambos sexos	Total	Comunitat Valenciana	Otras enfermedades del corazón	No	96.44
Ambos sexos	Total	Comunitat Valenciana	Varices en las piernas	TOTAL	100
Ambos sexos	Total	Comunitat Valenciana	Varices en las piernas	Sí	7.3
Ambos sexos	Total	Comunitat Valenciana	Varices en las piernas	No	92.7
Ambos sexos	Total	Comunitat Valenciana	Artrosis (excluyendo artritis)	TOTAL	100
Ambos sexos	Total	Comunitat Valenciana	Artrosis (excluyendo artritis)	Sí	15.09
Ambos sexos	Total	Comunitat Valenciana	Artrosis (excluyendo artritis)	No	84.91
Ambos sexos	Total	Comunitat Valenciana	Dolor de espalda crónico (cervical)	TOTAL	100
Ambos sexos	Total	Comunitat Valenciana	Dolor de espalda crónico (cervical)	Sí	11.42
Ambos sexos	Total	Comunitat Valenciana	Dolor de espalda crónico (cervical)	No	88.58
Ambos sexos	Total	Comunitat Valenciana	Dolor de espalda crónico (lumbar)	TOTAL	100
Ambos sexos	Total	Comunitat Valenciana	Dolor de espalda crónico (lumbar)	Sí	14.9
Ambos sexos	Total	Comunitat Valenciana	Dolor de espalda crónico (lumbar)	No	85.1
Ambos sexos	Total	Comunitat Valenciana	Alergia crónica. como rinitis. conjuntivitis o dermatitis alérgica. alergia alimentaria o de otro tipo (asma alérgica excluida)	TOTAL	100
Ambos sexos	Total	Comunitat Valenciana	Alergia crónica. como rinitis. conjuntivitis o dermatitis alérgica. alergia alimentaria o de otro tipo (asma alérgica excluida)	Sí	8.63
Ambos sexos	Total	Comunitat Valenciana	Alergia crónica. como rinitis. conjuntivitis o dermatitis alérgica. alergia alimentaria o de otro tipo (asma alérgica excluida)	No	91.37
Ambos sexos	Total	Comunitat Valenciana	Asma (incluida asma alérgica)	TOTAL	100
Ambos sexos	Total	Comunitat Valenciana	Asma (incluida asma alérgica)	Sí	2.74
Ambos sexos	Total	Comunitat Valenciana	Asma (incluida asma alérgica)	No	97.26
Ambos sexos	Total	Comunitat Valenciana	Bronquitis crónica. enfisema. enfermedad pulmonar obstructiva crónica (EPOC)	TOTAL	100
Ambos sexos	Total	Comunitat Valenciana	Bronquitis crónica. enfisema. enfermedad pulmonar obstructiva crónica (EPOC)	Sí	2.78
Ambos sexos	Total	Comunitat Valenciana	Bronquitis crónica. enfisema. enfermedad pulmonar obstructiva crónica (EPOC)	No	97.22
Ambos sexos	Total	Comunitat Valenciana	Diabetes	TOTAL	100
Ambos sexos	Total	Comunitat Valenciana	Diabetes	Sí	7.87
Ambos sexos	Total	Comunitat Valenciana	Diabetes	No	92.13
Ambos sexos	Total	Comunitat Valenciana	Úlcera de estómago o duodeno	TOTAL	100
Ambos sexos	Total	Comunitat Valenciana	Úlcera de estómago o duodeno	Sí	1.21
Ambos sexos	Total	Comunitat Valenciana	Úlcera de estómago o duodeno	No	98.79
Ambos sexos	Total	Comunitat Valenciana	Incontinencia urinaria o problemas de control de la orina	TOTAL	100
Ambos sexos	Total	Comunitat Valenciana	Incontinencia urinaria o problemas de control de la orina	Sí	4.42
Ambos sexos	Total	Comunitat Valenciana	Incontinencia urinaria o problemas de control de la orina	No	95.58
Ambos sexos	Total	Comunitat Valenciana	Colesterol alto	TOTAL	100
Ambos sexos	Total	Comunitat Valenciana	Colesterol alto	Sí	16.8
Ambos sexos	Total	Comunitat Valenciana	Colesterol alto	No	83.2
Ambos sexos	Total	Comunitat Valenciana	Cataratas	TOTAL	100
Ambos sexos	Total	Comunitat Valenciana	Cataratas	Sí	4.68
Ambos sexos	Total	Comunitat Valenciana	Cataratas	No	95.32
Ambos sexos	Total	Comunitat Valenciana	Problemas crónicos de piel	TOTAL	100
Ambos sexos	Total	Comunitat Valenciana	Problemas crónicos de piel	Sí	4.97
Ambos sexos	Total	Comunitat Valenciana	Problemas crónicos de piel	No	95.03
Ambos sexos	Total	Comunitat Valenciana	Estreñimiento crónico	TOTAL	100
Ambos sexos	Total	Comunitat Valenciana	Estreñimiento crónico	Sí	3.87
Ambos sexos	Total	Comunitat Valenciana	Estreñimiento crónico	No	96.13
Ambos sexos	Total	Comunitat Valenciana	Cirrosis. disfunción hepática	TOTAL	100
Ambos sexos	Total	Comunitat Valenciana	Cirrosis. disfunción hepática	Sí	0.85
Ambos sexos	Total	Comunitat Valenciana	Cirrosis. disfunción hepática	No	99.15
Ambos sexos	Total	Comunitat Valenciana	Depresión	TOTAL	100
Ambos sexos	Total	Comunitat Valenciana	Depresión	Sí	5.06
Ambos sexos	Total	Comunitat Valenciana	Depresión	No	94.94
Ambos sexos	Total	Comunitat Valenciana	Ansiedad crónica	TOTAL	100
Ambos sexos	Total	Comunitat Valenciana	Ansiedad crónica	Sí	6.54
Ambos sexos	Total	Comunitat Valenciana	Ansiedad crónica	No	93.46
Ambos sexos	Total	Comunitat Valenciana	Otros problemas mentales	TOTAL	100
Ambos sexos	Total	Comunitat Valenciana	Otros problemas mentales	Sí	2.76
Ambos sexos	Total	Comunitat Valenciana	Otros problemas mentales	No	97.24
Ambos sexos	Total	Comunitat Valenciana	Ictus (embolia. infarto cerebral. hemorragia cerebral)	TOTAL	100
Ambos sexos	Total	Comunitat Valenciana	Ictus (embolia. infarto cerebral. hemorragia cerebral)	Sí	0.75
Ambos sexos	Total	Comunitat Valenciana	Ictus (embolia. infarto cerebral. hemorragia cerebral)	No	99.25
Ambos sexos	Total	Comunitat Valenciana	Migraña o dolor de cabeza frecuente	TOTAL	100
Ambos sexos	Total	Comunitat Valenciana	Migraña o dolor de cabeza frecuente	Sí	7.2
Ambos sexos	Total	Comunitat Valenciana	Migraña o dolor de cabeza frecuente	No	92.8
Ambos sexos	Total	Comunitat Valenciana	Hemorroides	TOTAL	100
Ambos sexos	Total	Comunitat Valenciana	Hemorroides	Sí	3.66
Ambos sexos	Total	Comunitat Valenciana	Hemorroides	No	96.34
Ambos sexos	Total	Comunitat Valenciana	Tumores malignos	TOTAL	100
Ambos sexos	Total	Comunitat Valenciana	Tumores malignos	Sí	2.71
Ambos sexos	Total	Comunitat Valenciana	Tumores malignos	No	97.29
Ambos sexos	Total	Comunitat Valenciana	Osteoporosis	TOTAL	100
Ambos sexos	Total	Comunitat Valenciana	Osteoporosis	Sí	4.93
